Gender;Height ( inch );Weight ( libre );Height_old_meter;Weight_old_kg;Height_meter;Weight_kg
Male;66,55398107;171,4285919;1,690471119;77,75870129;1,3;56
Male;67,54641807;159,557692;1,715679019;72,37415167;1,6;48,4
Female;62,27771138;144,2352529;1,581853869;65,4240102;1,67;78,39
Female;63,25764228;137,0878289;1,606744114;62,18199321;1,33;55,61
Female;64,25565424;142,5034552;1,632093618;64,63847998;1,46;122,88
Male;62,29469492;149,4972517;1,582285251;67,81081271;1,73;71,34
Male;66,09017738;161,1934326;1,678690505;73,11611112;1,3;70,4
Female;60,62363512;136,6560548;1,539840332;61,98614377;1,73;116,85
Female;61,50048653;126,0883382;1,562112358;57,19270815;1,88;120,06
Female;63,41995464;125,962116;1,610866848;57,13545473;1,8;144,3
Female;65,64262176;155,9110233;1,667322593;70,72005057;1,48;71,54
Female;56,1089021;80,53125938;1,425166113;36,5283648;1,42;40,48
Male;65,93964742;177,2854147;1,674867044;80,41531142;1,76;114,66
Male;66,93307845;151,1991529;1,700100193;68,58278211;1,75;122,5
Male;67,40761496;162,8229424;1,71215342;73,85524433;1,37;97,44
Female;68,2692742;155,5871472;1,734039565;70,57314284;1,8;109,2
Male;68,41676724;188,1177003;1,737785888;85,32875352;1,67;85,41
Male;69,45866255;187,9108757;1,764250029;85,23493946;1,57;55,64
Male;67,26904397;180,0356727;1,708633717;81,66280746;1,53;59,74
Male;68,26284966;169,2250347;1,733876381;76,75918455;1,33;65,57
Male;67,50534814;166,3887275;1,714635843;75,47265725;1,55;115,5
Male;71,01461429;192,8735091;1,803771203;87,4859521;1,52;131,58
Female;62,42696121;127,616506;1,585644815;57,88587341;1,7;91,2
Female;65,25541754;137,4155435;1,657487606;62,33064205;1,82;72,6
Male;70,78164251;209,5119129;1,79785372;95,03300512;1,66;51,04
Male;72,0057094;205,9619225;1,828945019;93,42275656;1,76;152,46
Female;60,83423839;107,281036;1,545189655;48,66185938;1,37;113,1
Female;61,46809964;122,8684986;1,561289731;55,73221348;1,87;69,87
Male;65,07111347;180,7565256;1,652806282;81,98978084;1,63;62,15
Female;65,81717356;153,3415509;1,671756208;69,55455749;1,36;92,02
Female;67,0699084;163,451651;1,703575673;74,14042176;1,5;83
Male;71,43330454;196,380704;1,814405935;89,07678895;1,79;92,88
Female;64,60135853;168,9078937;1,640874507;76,61533182;1,84;92,46
Male;68,1699946;185,2531099;1,731517863;84,02939717;1,81;52,4
Male;65,82544519;156,804215;1,671966308;71,12519551;1,4;58,5
Female;66,83425833;165,0929263;1,697590162;74,88489171;1,43;99,51
Male;68,48850981;184,0067895;1,739608149;83,46407575;1,42;68,08
Male;73,04959537;218,711327;1,855459722;99,20578916;1,86;131,92
Female;59,24865572;110,5871908;1,504915855;50,16150597;1,42;67,16
Female;61,11887036;108,4389955;1,552419307;49,18710097;1,5;107
Female;61,52769119;114,8439614;1,562803356;52,09234463;1,32;81,18
Female;64,31120561;138,8174294;1,633504622;62,9665268;1,39;47,17
Male;67,28573328;199,0066131;1,709057625;90,26788128;1,36;79,98
Male;74,76744684;210,3699087;1,89909315;95,42218546;1,48;105,84
Female;63,58140655;138,2293962;1,614967726;62,69979943;1,32;98,4
Female;68,93909485;168,3916986;1,751053009;76,38118966;1,39;71,2
Female;63,03643615;143,9641532;1,601125478;65,30104145;1,69;123,76
Male;68,87470662;191,8337092;1,749417548;87,0143068;1,69;114,24
Female;61,27909764;141,2121227;1,55648908;64,05274141;1,49;128,7
Male;68,45703503;183,5225201;1,73880869;83,24441484;1,48;87,22
Female;63,52497621;147,0268505;1,613534396;66,69025757;1,79;65,79
Male;68,83693336;183,6978268;1,748458107;83,32393262;1,57;100,58
Female;61,57662457;109,0763172;1,564046264;49,47618523;1,32;52,48
Male;67,1722775;168,183015;1,706175849;76,28653237;1,79;129
Female;65,24857389;154,9093102;1,657313777;70,26568115;1,83;65,17
Female;66,87497089;146,0579724;1,698624261;66,25078186;1,81;62,88
Male;72,87320321;219,0261409;1,850979362;99,34858634;1,34;52,08
Female;66,7224388;122,7937325;1,694749946;55,69830015;1,77;81,28
Male;73,52616503;202,3105745;1,867564592;91,76653296;1,43;112,53
Female;60,25777636;115,3897859;1,53054752;52,33992646;1,34;73,08
Male;67,25038326;166,5945699;1,708159735;75,56602579;1,52;107,1
Female;59,26444654;117,3937021;1,505316942;53,24888756;1,57;64,2
Female;65,96541528;135,7487337;1,675521548;61,57458984;1,77;139,7
Male;65,43804252;178,446423;1,66212628;80,94193593;1,74;74,4
Male;65,98696793;183,8309641;1,676068985;83,38432269;1,71;81,07
Male;68,79342511;170,5235361;1,747352998;77,34817488;1,88;121,44
Female;66,98861261;156,2568755;1,70151076;70,87692649;1,66;58
Male;72,22673274;203,3901693;1,834559012;92,25622893;1,48;70,56
Female;57,16584006;106,0050311;1,452012338;48,08307329;1,88;75,9
Female;62,8197521;125,4411757;1,595621703;56,89916018;1,9;110,6
Male;65,80655692;154,8776291;1,671486546;70,25131084;1,88;118,68
Male;66,1902381;170,414341;1,681232048;77,29864482;1,88;75,9
Male;69,3830474;200,5666591;1,762329404;90,97550624;1,84;168,84
Female;54,26313333;64,70012671;1,378283587;29,34748381;1,4;37,8
Male;71,76846374;200,798983;1,822918979;91,08088659;1,82;124,08
Female;65,33505185;147,1023987;1,659510317;66,72452566;1,75;95
Female;59,91307099;113,7224311;1,521792003;51,58362704;1,33;68,06
Female;63,9097591;131,5604835;1,623307881;59,67483151;1,81;166,37
Male;70,47554358;197,8947574;1,790078807;89,76355202;1,75;63,75
Female;62,2687686;138,6228159;1,581626722;62,8782516;1,47;72,75
Male;66,86303976;189,4091241;1,69832121;85,9145335;1,86;156,4
Female;66,98698013;155,3302344;1,701469295;70,45660915;1,82;67,32
Female;67,44927297;170,8303536;1,713211533;77,48734496;1,73;103,32
Male;73,10605905;207,2395474;1,8568939;94,00227746;1,73;60,27
Male;73,89993869;215,5597033;1,877058443;97,7762367;1,44;69,56
Female;65,26306194;100,982899;1,657681773;45,80507249;1,42;100,28
Female;65,94647155;161,6868075;1,675040377;73,33990221;1,81;121,83
Male;69,219568;218,3144513;1,758177027;99,02576937;1,65;86,25
Male;77,54718634;242,0411726;1,969698533;109,7880291;1,68;80,24
Male;63,36976449;141,9017774;1,609592018;64,36556352;1,88;56,58
Male;68,72757299;191,6084474;1,745680354;86,91212977;1,51;121,2
Male;65,85452521;160,1119988;1,67270494;72,625581;1,63;57,63
Male;66,46344464;169,9651516;1,688171494;77,09489593;1,4;71,1
Male;67,80567987;197,082611;1,722264269;89,39516861;1,64;124,26
Male;69,35342667;180,5205798;1,761577037;81,88275763;1,84;71,02
Male;70,64357719;180,6688738;1,794346861;81,95002265;1,7;156
Male;71,60855972;193,0701422;1,818857417;87,57514338;1,48;76,44
Female;65,07411934;149,2303332;1,652882631;67,68974051;1,75;105
Male;65,78802419;166,2769877;1,671015814;75,42197293;1,61;128,76
Male;66,22768493;169,2503432;1,682183197;76,7706643;1,77;96,52
Male;70,46566325;182,802806;1,789827847;82,91795802;1,53;107,12
Female;66,71937696;146,8915768;1,694672175;66,62889845;1,85;75,6
Male;67,27784728;156,4163422;1,708857321;70,94925937;1,55;99,75
Female;62,28683837;139,5227077;1,582085695;63,28643565;1,6;68,2
Female;62,41587974;121,0337281;1,585363345;54,89997558;1,45;94,05
Male;74,84149972;223,9456703;1,900974093;101,5800473;1,32;50,02
Male;66,92572385;182,8028285;1,699913386;82,91796822;1,56;104,94
Male;72,79348627;217,1632825;1,848954551;98,50360799;1,35;55,25
Male;67,67141355;174,7245343;1,718853904;79,25371561;1,77;156,21
Male;68,82921624;200,3308195;1,748262092;90,8685312;1,33;69,72
Male;69,15511404;178,7517272;1,756539897;81,08041958;1,66;64,96
Male;71,80918689;200,9205712;1,823953347;91,13603807;1,48;74,48
Female;62,62385249;142,9468274;1,590645853;64,83959022;1,32;59,04
Female;62,20503763;122,9178819;1,580007956;55,75461337;1,84;138,02
Female;63,49126942;123,1866288;1,612678243;55,87651491;1,79;92,88
Female;65,49901085;146,7844461;1,663674876;66,58030479;1,67;54,99
Female;63,33845959;126,3816596;1,608796874;57,3257565;1,76;84,42
Female;58,64632986;96,52484983;1,489616778;43,7829354;1,4;48,6
Female;61,57110851;126,0125198;1,563906156;57,15831751;1,85;120,15
Female;62,59721453;140,9495811;1,589969249;63,93365454;1,64;104,88
Male;67,23077189;171,0169406;1,707661606;77,5719794;1,76;56,7
Male;67,97215983;170,7156931;1,72649286;77,43533583;1,32;67,24
Female;63,31981767;119,3159883;1,608323369;54,12082191;1,83;62,51
Female;66,26179473;156,8907534;1,683049586;71,16444867;1,56;115,54
Male;67,92331063;173,3486462;1,72525209;78,62962327;1,51;91,91
Female;68,13040881;177,2401312;1,730512384;80,39477117;1,54;68,64
Male;68,15631187;177,0037601;1,731170321;80,28755504;1,47;58,2
Male;68,66359393;184,2627962;1,744055286;83,58019843;1,61;52,17
Male;69,6791497;203,3170123;1,769850402;92,22304547;1,57;80,25
Male;67,6684485;193,3040688;1,718778592;87,6812507;1,59;116,63
Male;68,49641536;154,3426389;1,73980895;70,00864337;1,79;130,29
Male;68,56837467;179,7959681;1,741636717;81,55407929;1,41;116,48
Male;71,77574885;210,7288522;1,823104021;95,5849995;1,57;130,54
Female;68,19779554;172,3812749;1,732224007;78,19083103;1,6;101,2
Male;69,49493766;188,41922;1,765171417;85,46552055;1,87;98,64
Male;76,80634364;227,2203428;1,950881128;103,0654138;1,59;141,7
Female;61,68302858;116,4235103;1,566748926;52,80881596;1,39;67,64
Male;65,62492094;168,0352354;1,666872992;76,21950067;1,51;117,16
Male;65,05737312;157,5824315;1,652457277;71,47818857;1,39;60,52
Male;63,49209925;160,490301;1,612699321;72,79717599;1,41;111,02
Male;69,81202171;188,0649839;1,773225351;85,30484176;1,48;42,14
Male;71,42288707;188,9599045;1,814141332;85,71077092;1,76;161,28
Female;66,93631052;142,7673671;1,700182287;64,7581884;1,3;89,6
Female;67,37359659;146,023295;1,711289353;66,23505245;1,37;77,43
Male;70,89117344;182,2837059;1,800635805;82,68249817;1,62;131,04
Male;70,09723765;201,993728;1,780469836;91,62281381;1,7;136,8
Female;58,34348428;110,1522367;1,481924501;49,96421411;1,3;65,6
Male;68,36301257;179,9490893;1,736420519;81,62353389;1,64;116,28
Male;65,23963503;158,6197611;1,65708673;71,94871337;1,55;43,05
Female;64,79896116;152,8287055;1,645893613;69,32193473;1,35;45,9
Female;65,06141389;131,5889293;1,652559913;59,68773431;1,71;96,8
Male;68,51552345;176,1412392;1,740294296;79,89632214;1,51;92,92
Male;69,02647455;198,0143768;1,753272454;89,81781047;1,4;38,7
Female;62,73928093;138,5304211;1,593577736;62,83634202;1,46;71,04
Female;66,2125364;154,2928679;1,681798425;69,98606762;1,54;94,64
Male;70,2450922;193,0120517;1,784225342;87,54879397;1,46;55,68
Female;64,75536572;146,1156543;1,644786289;66,27694593;1,47;44,62
Male;59,38064956;136,3910055;1,508268499;61,86591943;1,71;147,62
Female;61,50842888;98,33154637;1,562314094;44,60243916;1,36;99,76
Female;68,17865809;144,3335794;1,731737915;65,46861035;1,78;117,76
Female;67,22014722;168,8093992;1,707391739;76,57065546;1,71;89,54
Male;69,98440497;192,1441105;1,777603886;87,15510246;1,88;173,88
Female;63,19996482;147,0291636;1,605279106;66,69130678;1,53;93,73
Female;61,6993302;121,0536412;1,567162987;54,90900801;1,64;59,28
Female;62,65934396;124,2572112;1,591547337;56,36212292;1,3;85,6
Male;65,72916187;156,2239585;1,669520711;70,86199559;1,52;120,36
Male;69,11382842;184,3380819;1,755491242;83,61434745;1,35;61,2
Female;64,37891187;127,3863522;1,635224361;57,7814774;1,88;144,9
Female;62,72302427;121,7220903;1,593164816;55,21221142;1,32;70,52
Male;68,26901426;196,8433339;1,734032962;89,28663434;1,88;56,58
Male;70,8995167;193,4541646;1,800847724;87,74933301;1,89;82,01
Male;69,47458176;177,3439177;1,764654377;80,44184793;1,7;76,8
Male;71,05863335;204,2728377;1,804889287;92,65660058;1,52;77,52
Female;62,99657931;131,0042845;1,600113114;59,42254389;1,44;97,76
Male;68,17139883;190,2356883;1,73155353;86,28945671;1,8;54,6
Male;64,80862144;162,3795406;1,646138985;73,65412066;1,65;95,45
Male;67,32181711;168,7447552;1,709974155;76,54133344;1,75;91,25
Male;66,79400775;165,2596432;1,696567797;74,96051322;1,9;86,8
Male;70,64894078;193,5198549;1,794483096;87,77912963;1,69;58,31
